,ID,Title,Source Title,Source Link,Final Registration,Modification Reason,Domain,Date,Head,Body,Useful,Fact
0,A2,대형병원 응급실에 경증환자가 몰려 중증 환자 진료에 차질이 빚어진다,"중앙일보 ""국민 4명중 1명 경증으로 응급실""…89%는 ""이용 제한땐 동참""",https://www.joongang.co.kr/article/25195924#home,2024.03.14 11:18,근거자료 추가,www_joongang_co_kr,입력2023.09.27 05:00,"국민 4명중 1명 ""경증으로 응급실""…89%는 ""이용 제한땐 동참""","지난 19일 이마·코에 가벼운 상처를 입은 60대 B씨가 권역응급의료센터인 전북대학교병원 응급실을 찾았다.
찰과상 치료를 받고 퇴원했다.
 지역별로는 울산(35%), 광주·전남(각각 33.3%), 전북(31.4%), 대전(31%) 등이 높았다.",1,1
1,A4,노점상들은 세금을 내고 싶어 한다,경향신문 기사(“마음 편하게 장사 좀 하자”···‘노점말살 조례 저지’ 외친 노점상들) 노점상의 주장,https://www.khan.co.kr/national/national-general/article/202306131704001,2024.02.23 14:53,,www_khan_co_kr,입력 : 2023.06.13 17:04수정 : 2023.06.13 18:27,“마음 편하게 장사 좀 하자”···‘노점말살 조례 저지’ 외친 노점상들,"” 서울 영등포구에서 10여년 간 포장마차를 운영해 온 박지선씨(62)는 13일 서울 중구 서울시의회 앞에서 기자를 만나 제36차 전국노점상대회에 나온 이유를 이같이 말했다.
민주노점상전국연합, 전국노점상총연합을 비롯한 노점상인 단체들은 이날 오후 1시 제36차 전국노점상대회를 열고 노점상 생존권을 보장할 것을 촉구했다.
박씨는 “단속 용역은 나와서 가스통을 뺏어가고 구청 직원은 매일 사진을 찍거나 계고장을 붙이고 가는 터에 장사하기 너무 어렵다”면서 “한 달에 과태료로 내는 40만원을 차라리 세금으로 낼 수 있는 길을 만들어주면 좋겠다”고 말했다.",1,1
2,A5,2017년부터 정신질환자의 강제입원이 어려워졌다 ,"사고 터질 때까지 발만 동동…문턱 높은 '강제 입원'(머니투데이, 2024/01/29)",https://news.mt.co.kr/mtview.php?no=2024012910050232427,2024.02.13 17:28,내용 수정 ,news_mt_co_kr,2024.01.29 16:54,사고 터질 때까지 발만 동동…문턱 높은 '강제 입원',"이에 의료계에선 '강제 입원의 문턱을 낮춰야 한다'는 목소리에 힘이 실린다.
황재욱(대한신경정신의학회 수련위원) 순천향대 서울병원 정신건강의학과 교수는 ""2017년 정신건강복지법이 개정되면서 입원 치료가 필요한 중증 정신질환 환자의 입원이 까다로워졌다""며 ""정작 입원 치료를 받아야 하는 환자가 입원하지 못하는 부작용이 속속 발생하고 있다""고 지적했다.
배현진 국민의힘 의원을 습격한 만 15세 소년이 정신질환을 호소해 응급입원 조치되고, 지난해 분당 서현역에서 '묻지마 흉기난동'을 벌인 최원종이 2020년 '분열성 성격장애'로 진단받았지만 치료받지 않은 사실이 드러났다.",1,1
3,A6,용산참사 당시 경찰 지휘부에 대한 처벌은 이뤄지지 않았다,용산참사 15주기 추모위원회 보도자료,https://www.peoplepower21.org/stablelife/1955730,2024.01.24 12:32,,www_peoplepower21_org,민생희망본부주거2024-01-17598,"[기자회견] 용산참사 책임자 김석기 공천반대, 막개발 정책 규탄 용산참사 15주기 입장발표","18.
 2024.
15년의 세월이 흘렀지만 달라지지 않은 현실은 더욱 참담하다.",1,1
4,A7,"우리나라는 여론조사기관이 일본, 프랑스보다 많다 ","같은 문항 가지고도 ‘들쭉날쭉’… 여론조사 이대로 괜찮나(세계일보, 2023/05/23)",https://www.segye.com/newsView/20230522520050?OutUrl=naver,2024.01.12 21:50,,www_segye_com,입력 : 2023-05-23 06:00:00수정 : 2023-05-25 14:56:52,같은 문항 가지고도 ‘들쭉날쭉’… 여론조사 이대로 괜찮나 [심층기획],"리얼미터가 미디어트리뷴 의뢰로 지난 15일부터 19일까지 전국 18세 이상 유권자 2504명을 대상으로 조사한 결과, 윤 대통령의 국정 수행에 대한 긍정 평가는 전주보다 2.2%포인트 상승한 39.0%로 집계됐다.
22일 두 여론조사 업체가 발표한 윤석열 대통령의 국정 수행 지지율이다.
한 곳은 윤 대통령의 지지율이 올랐고, 한 곳은 낮아졌다고 발표한 것이다.",1,1
5,A8,과도한 사교육비가 한국 저출산 원인 중 하나다,"예일대 강단에 선 오세훈 ""과도한 교육비가 한국 저출산 원인"". 중앙일보 보도",https://n.news.naver.com/mnews/article/025/0003310096?sid=102,2023.12.28 10:39,근거가료 추가,n_news_naver_com,2023-09-24 14:15:30 2023-09-24 14:50:01,"예일대 강단에 선 오세훈 ""과도한 교육비가 한국 저출산 원인""","” 오세훈 서울시장이 지난 21일(현지 시각) 미국 코네티컷주 뉴헤이번에 있는 예일대 루스홀 강당에서 열린 특강 후 한국의 저출산 문제 원인과 해법이 뭐냐는 질문을 받자 이같이 진단했다.
“한국의 저출산엔 많은 원인이 있는데, 그중 하나가 과도한 교육비라고 생각한다.
━ 예일대서 '약자동행' 특강 나선 吳 통계청이 내놓은 ‘2022년 초중고 사교육비 조사 결과’에 따르면, 한해 지출된 사교육비 총액은 26조원이다.",1,1
6,A10,경찰·소방 공무원이 업무상 재해를 입어도 지급받는 간병료는 간병인 1일 요금에 못 미친다,서울신문: 화재 진압하다 소방관 ‘전신 화상’…지원 부족해 간병인도 못 쓴다,https://www.seoul.co.kr/news/newsView.php?id=20231116500034&wlog_tag3=naver,2023.11.24 16:27,"오탈자, 사진 수정",www_seoul_co_kr,"입력2023-11-16 09:36, 업데이트2023-11-16 16:10",화재 진압하다 소방관 ‘전신 화상’…지원 부족해 간병인도 못 쓴다," 지난 9월 부산 동구 목욕탕 폭발 사고 당시 화재 진압에 나섰다가 전신화상을 입은 소방관과 경찰관 등이 간병비 지원금 부족 문제로 어려움을 겪고 있는 것으로 전해졌다.
간병비 지원이 턱없이 부족하기 때문이다.
공무원재해보상법의 간병비 지급 기준은 2010년 개정 이후 지금까지 바뀌지 않아 제도 개선을 촉구하는 목소리가 커지고 있다.",1,1
7,A12,우리나라는 허위정보 발언에 대한 국회의원 면책특권 범위가 해외보다 넓다 ,조선일보 [사설] 가짜 뉴스로 사익까지 챙길 수 있는 한국 의원의 특권(2023/10/26) 中 독일 면책특권 비교 언급,https://www.chosun.com/opinion/editorial/2023/10/26/NLF5EBMX4FDWRKWLQX53IEAMLM/,2023.11.07 16:55,근거 자료 추가 ,www_chosun_com,입력 2023.10.26. 03:16업데이트 2023.10.26. 03:29,[사설] 가짜 뉴스로 사익까지 챙길 수 있는 한국 의원의 특권," 경찰이 윤석열 대통령과 한동훈 법무 장관의 ‘청담동 술자리’ 허위 의혹을 제기했던 김의겸 민주당 의원에 대해 면책특권을 이유로 불송치 결정을 내렸다.
가짜 뉴스를 퍼뜨려 다른 사람들의 명예를 심각하게 훼손해 놓고 국회의원 특권을 앞세워 처벌을 면한 것이다.
결국 명백한 가짜 뉴스로 판명 났다.",1,1
8,A15,강서구청장 보궐선거 경비는 총 40억이다,더불어민주당 서면브리핑,https://theminjoo.kr/main/sub/news/view.php?brd=11&post=1198455,2023.10.06 16:28,근거자료 수정,theminjoo_kr,게시일 : 2023-09-30 09:28:00,[박성준 대변인] 부끄러운 줄 모르는 오만한 정권을 반드시 심판해야 합니다,"  ■ 부끄러운 줄 모르는 오만한 정권을 반드시 심판해야 합니다  어제 강서구청장 선거 유세에서 국민의힘 김태우 후보가 천억을 벌어올테니 40억 정도는 애교로 봐달라고 말했습니다.
자신의 범죄로 보궐선거를 만들어놓고 다시 출마한 후안무치한 후보가 아니랄까봐 40억의 혈세를 낭비시켜 놓고 부끄러운 줄 모르고 있습니다.
그것이 김태우 후보와 국민의힘이 잠시나마 자신들을 선택해준 강서구민에 대한 예의일 것입니다.",1,1
9,A17,범죄자 중 정신질환자 비율 높지 않다,YTN 라디오 '신율의 뉴스정면승부',https://radio.ytn.co.kr/program/?f=2&id=90888&s_mcd=0263&s_hcd=01,2023.08.25 14:02,본문 내용 수정,radio_ytn_co_kr,"날짜 : 2023-08-07 19:38 
			   				   | 조회 : 958","[정면승부] ""개인이 '묻지마 범죄' 예방 어려워...호신용품소지 심리적 안정 효과 있다""","호신용품소지 심리적 안정 효과 있다""    -최원종,정신과 진료기록 있어.
 [YTN라디오 신율의 뉴스 정면승부]  ■방송: FM 94.5 (17:00~19:00)  ■방송일: 2023년8월7일(월요일)  ■진행:신율 명지대 정치외교학과 교수  ■대담:이수정 경기대 범죄심리학과 교수    *아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송으로 확인하시기 바랍니다.
공포심 유발,경제적 손실 유발 등 심각한 결과 초래  -해외에선 테러 예고만으로도 심각한 범죄.",1,1
10,A18,외국에선 폭염에도 이름을 붙인다,SBS 라디오 김태현의 정치쇼,https://news.sbs.co.kr/news/endPage.do?news_id=N1007295965,2023.08.14 08:46,본문내용 수정,news_sbs_co_kr,작성2023.08.04 15:25조회522,"[정치쇼] 김동훈 ""잼버리, 쿨링센터가 필요하다…에어컨 · 버스 투입해야""","오늘은 재난이 된 날씨, 누가 가장 위험하고 어떻게 해야 여기서 생존할 수 있는 건지 알아보도록 하겠습니다.
앞으로는 이렇게 극단적인 비와 극단적인 폭염이 반복해서 올 것이다 이게 지난주의 결론이었는데요.
중부지방이 홍수에 이어서 일주일 넘게 폭염입니다.",1,1
11,A21,윤석열 정부 근로손실일수는 역대 정부 최저다,5월 11일 SBS 라디오 <김태현의 정치쇼>,https://news.sbs.co.kr/news/endPage.do?news_id=N1007187200,2023.05.30 11:01,"판정 결과, 근거 자료 수정, 뱃지 분리",news_sbs_co_kr,작성2023.05.11 09:20수정2023.05.11 14:02조회410,"[정치쇼] 이정식 장관 ""노조 탄압? 사용자 처벌해도 사용자 탄압 얘기 안 하더라""","1년 전에 윤석열 정부 국정과제 1번으로 꼽혔고, 2년 차인 올해, 특히 총선 전에는 진짜 성과를 내야 하는 분이지요.
▶이정식 : 네.
▶이정식 : 점수를 매기는 것보다는 제가 어떻게 변화했나, 어떻게 시작했나 하는 것을 말씀드리는 것으로 대신하는 게 적절할 것 같아요.",1,1
12,A22,업무방해죄로 노조 처벌하는 나라는 한국과 일본뿐이다,MBC 라디오 '신장식의 뉴스하이킥',https://www.imbc.com/broad/radio/fm/newshigh/interview/index.html?list_id=7203663&list_use=1&bbs_id=newshigh_02&page=1 ,2023.05.17 15:50,,www_imbc_com,2023.05.03 20:03,5/3 (수) [특.수.통] ‘尹 방미’에 가려진 美 노총의 한국 정부 규탄.. 왜? - 김영훈 전 민주노총 위원장,"◎김영훈>안녕하세요.
안녕하세요.
꿈꾸는 기관사 김영훈 전 민주노총 위원장입니다.",1,1
